idacr,yrend,gdppc,pop
AUS,1997,32857.9938,18279.29878
AUS,1998,34337.1394,18472.85591
AUS,1999,35551.0195,18683.20116
AUS,2000,36603.045,18902.43425
AUS,2001,37275.9912,19144.38066
AUS,2002,38567.0655,19360.65114
AUS,2003,39523.6552,19579.88422
AUS,2004,40887.7253,19796.15469
AUS,2005,41904.4459,20058.83937
AUS,2006,42650.9859,20370.90087
AUS,2007,44033.5838,20754.065
AUS,2008,44421.6405,21208.33174
AUS,2009,44686.5414,21593.47094
AUS,2010,45400.2234,21895.65708
AUS,2011,46132.0,22241.29482
AUS,2012,46999.0,22642.2346
AUS,2013,47250.0,23007.62306
AUS,2014,47867.0,23345.36051
AUS,2015,48357.0,23686.06057
AUS,2016,48845.0,24086.01281
AUS,2017,49265.6135,24466.21433
AUS,2018,49830.7993,24855.30367
AUT,1820,1941.0,3369.0
AUT,1830,2230.0,3538.0
AUT,1840,2415.0,3716.0
AUT,1850,2630.0,3950.0
AUT,1860,2834.0,4235.0
AUT,1870,2970.0,4520.0
AUT,1871,3154.0,4562.0
AUT,1872,3150.0,4604.0
AUT,1873,3049.0,4646.0
AUT,1874,3158.0,4688.0
AUT,1875,3145.0,4730.0
AUT,1876,3188.0,4772.0
AUT,1877,3268.0,4815.0
AUT,1878,3347.0,4857.0
AUT,1879,3296.0,4899.0
AUT,1880,3314.0,4941.0
AUT,1881,3419.0,4985.0
AUT,1882,3411.0,5030.0
AUT,1883,3521.0,5075.0
AUT,1884,3583.0,5121.0
AUT,1885,3531.0,5166.0
AUT,1886,3615.0,5212.0
AUT,1887,3832.0,5257.0
AUT,1888,3792.0,5303.0
AUT,1889,3725.0,5348.0
AUT,1890,3894.0,5394.0
AUT,1891,3995.0,5446.0
AUT,1892,4041.0,5504.0
AUT,1893,4025.0,5563.0
AUT,1894,4216.0,5622.0
AUT,1895,4285.0,5680.0
AUT,1896,4305.0,5739.0
AUT,1897,4352.0,5798.0
AUT,1898,4551.0,5856.0
AUT,1899,4600.0,5915.0
AUT,1900,4594.0,5973.0
AUT,1901,4565.0,6035.0
AUT,1902,4694.0,6099.0
AUT,1903,4688.0,6164.0
AUT,1904,4712.0,6228.0
AUT,1905,4925.0,6292.0
AUT,1906,5062.0,6357.0
AUT,1907,5321.0,6421.0
AUT,1908,5292.0,6485.0
AUT,1909,5222.0,6550.0
AUT,1910,5244.0,6614.0
AUT,1911,5364.0,6669.0
AUT,1912,5587.0,6724.0
AUT,1913,5523.0,6767.0
AUT,1914,4584.0,6806.0
AUT,1915,4229.0,6843.0
AUT,1916,4189.0,6825.0
