obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category,end_gdppc,pop
BEN-1970,822b276d-1e42-11e4-b4cd-db5882bf8def,434,BEN,Maga,1970-05-07,1970-05-07,1972-04-07,1972-04-07,Regular,Regular,Regular,1,Imprisonment,M,1916,2000,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Hubert-5FMaga&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Ywrpk62BmAojZfHGIGFNDaZDLtvleIx3eVjzAeIe_2w&e=,0,1.0,0,2.0,,,1970,1972,54,1.919272811898944, Benin,Democracy,1640.0,2791.434
LBR-1944,822ef811-1e42-11e4-b4cd-db5882bf8def,450,LBR,Tubman,1944-01-01,1944-01-01,1971-07-23,1971-07-23,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1895,1971,1895-11-29,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FTubman&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ZmkrCcluwYsQbN3SSpv7IwQON2ByqbC5e4dw_-Fkczc&e=,0,2.0,0,-777.0,,,1944,1971,49,27.55703402533933, Liberia,Democracy,4544.0,1440.0
LBR-1971,822ef812-1e42-11e4-b4cd-db5882bf8def,450,LBR,Tolbert,1971-07-23,1971-07-23,1980-04-12,1980-04-12,Regular,Irregular,"Removed by Military, without Foreign Support",0,Death,M,1913,1980,1913-05-13,,,0,3.0,6,3.0,,,1971,1980,58,8.722971724265385, Liberia,Democracy,4138.0,1858.0
LBR-1980,822ef813-1e42-11e4-b4cd-db5882bf8def,450,LBR,Doe,1980-04-12,1980-04-12,1990-09-09,1990-09-09,Irregular,Irregular,"Removed by Rebels, without Foreign Support",0,Death,M,1951,1990,1951-05-06,1990-09-09,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Samuel-5FDoe&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=o41Qz3AKFriQtjpUNpzSIQzR5nFLmAU6h890rLRsoa0&e=,1,3.0,4,3.0,,,1980,1990,29,10.40952244057031, Liberia,Democracy,1690.0,2178.0
GHA-1952,822fbb64-1e42-11e4-b4cd-db5882bf8def,452,GHA,Nkrumah,1952-03-21,1952-03-21,1966-02-24,1966-02-24,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1909,1972,1909-09-21,1972-04-27,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Kwame-5FNkrumah&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=yltyQ5vUJO01zF61WCtKOwue0ooFxeedkRqzZHFzmKU&e=,0,3.0,6,1.0,,,1952,1966,43,13.93047085155753, Ghana,Democracy,2158.0,8245.481
GHA-1966,822fec3e-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ankrah,1966-02-24,1966-02-24,1969-04-03,1969-04-03,Irregular,Regular,Regular,0,OK,M,1915,1992,1915-08-18,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Joseph-5FArthur-5FAnkrah&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=3JHpn3Cs4UMW-4wQcZre5yBM--0F6vz0ZA8sQH2S92g&e=,1,1.0,0,0.0,,,1966,1969,51,3.104786545924968, Ghana,Democracy,2112.0,9009.048
GHA-1969-2,822fec40-1e42-11e4-b4cd-db5882bf8def,452,GHA,Busia,1969-09-03,1969-09-03,1972-01-13,1972-01-13,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1913,1978,1913-07-11,1978-08-28,,0,3.0,6,1.0,,,1969,1972,56,2.360075840024094, Ghana,Democracy,2235.0,9353.659
GHA-1972,822fec41-1e42-11e4-b4cd-db5882bf8def,452,GHA,Acheampong,1972-01-13,1972-01-13,1978-07-05,1978-07-05,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,0,Imprisonment,M,1931,1979,1931-09-23,1979-06-16,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ignatius-5FKutu-5FAcheampong&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=UckkzomJE6DAIe52fif0TJvzob1CBwSMGl-Qc6520RI&e=,1,3.0,16,2.0,,,1972,1978,41,6.47515007152782, Ghana,Democracy,2008.0,10720.781
GHA-1979-2,82301d13-1e42-11e4-b4cd-db5882bf8def,452,GHA,Limann,1979-09-24,1979-09-24,1981-12-31,1981-12-31,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1934,1998,1934-12-12,1998-01-23,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Hilla-5FLimann&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XJjZ35HjozHxRnbEdHOl5RnQz3fEU1PQFRb_3x_1Xew&e=,0,3.0,6,2.0,,,1979,1981,45,2.269724908793473, Ghana,Democracy,1820.0,11177.979
GAB-1960,8230e062-1e42-11e4-b4cd-db5882bf8def,481,GAB,Mba,1960-08-17,1960-08-17,1964-02-17,1964-02-17,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1902,1967,,1967-11-28,,0,3.0,6,2.0,,,1960,1964,58,3.501783061938301, Gabon,Anocracy,4616.0,467.592
GAB-1964-2,8230e062-1e42-11e4-b4cd-db5882bf8def,481,GAB,Mba,1964-02-20,1964-02-20,1967-11-28,1967-11-28,Foreign Imposition,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1902,1967,,1967-11-28,,2,2.0,0,-777.0,,,1964,1967,62,3.770097948623175, Gabon,Anocracy,4882.0,489.004
UGA-1962,82320565-1e42-11e4-b4cd-db5882bf8def,500,UGA,Obote,1962-10-09,1962-10-09,1971-01-25,1971-01-25,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1924,2005,1924-12-28,2005-10-10,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Milton-5FObote&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qVryvKFiZz-b61dniE4MEBd4Kr7NFrcMz-n28ShYVhE&e=,0,3.0,6,1.0,,,1962,1971,38,8.295858231175178, Uganda,Anocracy,1385.0,10008.815
UGA-1971,82320566-1e42-11e4-b4cd-db5882bf8def,500,UGA,Amin,1971-01-25,1971-01-25,1979-04-11,1979-04-11,Irregular,Foreign,Removed through Threat of Foreign Force,0,Exile,M,1925,2003,,2003-08-16,,1,4.0,9,1.0,,,1971,1979,46,8.208245206951545, Uganda,Anocracy,966.0,12138.465
UGA-1980-2,82320565-1e42-11e4-b4cd-db5882bf8def,500,UGA,Obote,1980-12-17,1980-12-17,1985-07-27,1985-07-27,Regular,Irregular,"Removed by Military, without Foreign Support",1,Exile,M,1924,2005,1924-12-28,2005-10-10,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Milton-5FObote&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qVryvKFiZz-b61dniE4MEBd4Kr7NFrcMz-n28ShYVhE&e=,0,3.0,6,1.0,,,1980,1985,56,4.607897492761658, Uganda,Anocracy,886.0,14391.743
KEN-1963,8232670d-1e42-11e4-b4cd-db5882bf8def,501,KEN,Kenyatta,1963-12-12,1963-12-12,1978-08-22,1978-08-22,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1891,1978,1891-10-20,1978-08-22,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jomo-5FKenyatta&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=3GNb06ZXxr0yAHt4tlx3el8VLjFbnhtt7UIdaYvUf-s&e=,0,2.0,0,-777.0,,,1963,1978,72,14.69434690650732, Kenya,Democracy,1656.0,15079.69
RWA-1961,8232f98c-1e42-11e4-b4cd-db5882bf8def,517,RWA,Kayibanda,1961-10-26,1961-10-26,1973-07-05,1973-07-05,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1924,1976,1924-05-01,,,0,3.0,6,2.0,,,1961,1973,37,11.69086291984093, Rwanda,Anocracy,1288.0,4109.838
RWA-1973,82332a5c-1e42-11e4-b4cd-db5882bf8def,517,RWA,Habyarimana,1973-07-05,1973-07-05,1994-04-06,1994-04-06,Irregular,Irregular,"Irregular, Other",0,Death,M,1937,1994,1937-08-03,1994-04-06,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juv-25C3-25A9nal-5FHabyarimana&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=dIUi261zMrTIWc66B1w4UrXa1yjrdQZ0iZw2CaNaApQ&e=,1,3.0,111,3.0,,,1973,1994,36,20.75333511297289, Rwanda,Anocracy,707.2971,5992.263394
DJI-1977,82335b30-1e42-11e4-b4cd-db5882bf8def,522,DJI,Gouled Aptidon,1977-06-27,1977-06-27,1999-05-08,1999-05-08,Regular,Regular,Regular,0,OK,M,1916,2006,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Hassan-5FGouled-5FAptidon&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Uu-xw5pHC50yLxVZQEo3kJ6Ihu1iUoGnrLGuCwW3hA0&e=,0,1.0,0,0.0,Nephew of Guelleh%82335b31-1e42-11e4-b4cd-db5882bf8def,0.0,1977,1999,61,21.86218745080323, Djibouti,Anocracy,1930.5078,646.0
ETH-1941,82338c05-1e42-11e4-b4cd-db5882bf8def,530,ETH,Selassie,1941-05-05,1941-05-05,1974-09-12,1974-09-12,Foreign Imposition,Irregular,"Removed by Military, without Foreign Support",1,Imprisonment,M,1892,1975,1892-07-23,1975-08-27,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Haile-5FSelassie-5FI-5Fof-5FEthiopia&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=lI-oflyBsbdH4mCkynAoCMrj22tEq-f36UT6EvDwciQ&e=,2,3.0,6,2.0,,,1941,1974,49,33.35592106614099, Ethiopia,Anocracy,993.0,33022.36127
ETH-1974-2,82338c08-1e42-11e4-b4cd-db5882bf8def,530,ETH,Banti,1974-11-28,1974-11-28,1977-02-03,1977-02-03,Regular,Irregular,"Removed by Military, without Foreign Support",0,Death,M,1921,1977,,,,0,3.0,6,3.0,,,1974,1977,53,2.184849791576829, Ethiopia,Anocracy,977.0,35458.04608
ETH-1991-2,8233bce4-1e42-11e4-b4cd-db5882bf8def,530,ETH,Meles Zenawi,1991-05-27,1991-05-27,2012-08-20,2012-08-20,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1955,2012,1955-08-23,2012-08-20,,1,2.0,0,-777.0,,,1991,2012,36,21.23520674620287, Ethiopia,Anocracy,1287.0,90066.03738
COM-1975-2,823b2d4f-1e42-11e4-b4cd-db5882bf8def,581,COM,Soilih,1975-08-03,1975-08-03,1978-05-13,1978-05-13,Irregular,Irregular,"Removed by Military, without Foreign Support",0,Death,M,1937,1978,,,,1,3.0,6,3.0,,,1975,1978,38,2.776237705086347, Comoros,Anocracy,964.0,319.0
COM-1978,823b2d50-1e42-11e4-b4cd-db5882bf8def,581,COM,Bob Denard,1978-05-13,1978-05-13,1989-12-18,1989-12-18,Irregular,Irregular,"Removed by Other Government Actors, with Foreign Support",0,Exile,M,1929,2007,1929-04-07,2007-10-13,,1,3.0,7,1.0,,,1978,1989,49,11.60051198861031, Comoros,Anocracy,1108.0,421.0
COM-1989,823b2d51-1e42-11e4-b4cd-db5882bf8def,581,COM,Djohar,1989-12-18,1989-12-18,1995-09-29,1995-09-29,Regular,Irregular,"Removed by Military, with Foreign Support",0,Imprisonment,M,1918,2006,,,,0,3.0,5,2.0,Half-brother of Abdallah%823b2d4e-1e42-11e4-b4cd-db5882bf8def,1.0,1989,1995,71,5.77972169175274, Comoros,Anocracy,1166.9368,483.0
COM-1996-2,1978ffe8-3bbd-11e5-afeb-eb6f07f9fec7,581,COM,Abdoulkarim,1996-03-25,1996-03-25,1998-11-06,1998-11-06,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1936,1998,,,,0,2.0,0,-777.0,,,1996,1998,60,2.617439098681013, Comoros,Anocracy,1179.8441,518.0
TUN-1943,823c217a-1e42-11e4-b4cd-db5882bf8def,616,TUN,Muhammad al-Amin,1943-05-15,1943-05-15,1957-07-25,1957-07-25,Regular,Irregular,"Removed by Other Government Actors, without Foreign Support",0,Imprisonment,M,1881,1962,1881-09-04,,,0,3.0,8,2.0,,,1943,1957,62,14.19604783123541, Tunisia,Democracy,1847.0,3950.849
TUN-1957,823c217b-1e42-11e4-b4cd-db5882bf8def,616,TUN,Ben Ali Bourguiba,1957-07-25,1957-07-25,1987-11-07,1987-11-07,Irregular,Irregular,"Removed by Other Government Actors, without Foreign Support",0,Imprisonment,M,1903,2000,1903-08-03,2000-04-06,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Habib-5FBourguiba&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=QD794-fqQaBffaIt6cBQroE9Q3FWwYIsImeO7jgm_ns&e=,1,3.0,8,2.0,,,1957,1987,54,30.28672731130687, Tunisia,Democracy,5043.0,7728.019
IRN-1941,823cb3f9-1e42-11e4-b4cd-db5882bf8def,630,IRN,Mohammad Reza,1941-09-16,1941-09-16,1951-04-30,1951-04-30,Regular,Irregular,"Removed by Other Government Actors, without Foreign Support",0,Exile,M,1919,1980,1919-10-26,1980-07-27,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mohammad-5FReza-5FPahlavi&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rbMEF5eUaauW40rpHYNCcNzDMl72R9EVpSENyvYJK8c&e=,0,3.0,8,1.0,Son of Reza Khan%823cb3f8-1e42-11e4-b4cd-db5882bf8def,,1941,1951,22,9.618267315550629, Iran,Autocracy,2668.0,16806.708
IRN-1951,823cb3fa-1e42-11e4-b4cd-db5882bf8def,630,IRN,Mohammad Mossadeg,1951-04-30,1951-04-30,1953-08-19,1953-08-19,Irregular,Irregular,"Removed by Other Government Actors, without Foreign Support",0,Imprisonment,M,1882,1967,1882-05-19,1967-03-05,,1,3.0,8,2.0,,,1951,1953,69,2.305317699884323, Iran,Autocracy,2531.0,17734.742
IRN-1953,823cb3f9-1e42-11e4-b4cd-db5882bf8def,630,IRN,Mohammad Reza,1953-08-19,1953-08-19,1979-01-16,1979-01-16,Irregular,Irregular,"Popular Protest, without Foreign Support",1,Exile,M,1919,1980,1919-10-26,1980-07-27,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mohammad-5FReza-5FPahlavi&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rbMEF5eUaauW40rpHYNCcNzDMl72R9EVpSENyvYJK8c&e=,1,3.0,2,1.0,Son of Reza Khan%823cb3f8-1e42-11e4-b4cd-db5882bf8def,1.0,1953,1979,34,25.41051493186034, Iran,Autocracy,7678.0,37838.548
IRN-1979,823cb3fb-1e42-11e4-b4cd-db5882bf8def,630,IRN,Ayatollah Khomeini,1979-02-01,1979-02-01,1989-06-03,1989-06-03,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1902,1989,1902-09-24,1989-06-03,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ruhollah-5FKhomeini&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=0EZkLQCYKPXacIU63AIL1FZAlHCHhjQ398Z8Kk29v1Q&e=,1,2.0,0,-777.0,,,1979,1989,77,10.33559895138162, Iran,Autocracy,5303.0,54479.33
TUR-1909,823d159e-1e42-11e4-b4cd-db5882bf8def,640,TUR,Mahmud Sefket Pasha,1909-04-27,1909-04-27,1913-01-23,1913-01-23,Irregular,Irregular,Unknown,0,Death,M,1844,1913,1844-11-03,1913-06-11,,1,3.0,-999,3.0,,,1909,1913,65,3.74271887855329, Turkey,Anocracy,1473.0,15000.0
TUR-1913,823d159f-1e42-11e4-b4cd-db5882bf8def,640,TUR,Enver Pasha,1913-01-23,1913-01-23,1918-10-08,1918-10-08,Irregular,Irregular,Unknown,0,Exile,M,1881,1922,1881-11-22,1922-08-04,,1,3.0,-999,1.0,,,1913,1918,32,5.70579820256405, Turkey,Anocracy,832.0,
TUR-1922,823d15a1-1e42-11e4-b4cd-db5882bf8def,640,TUR,Ataturk,1922-11-01,1922-11-01,1938-11-10,1938-11-10,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1881,1938,,1938-11-10,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mustafa-5FKemal-5FAtat-25C3-25BCrk&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=WPPWVPYYFpV9SVNhIl7x0fGz_06z7IDMjmGCt-esgLw&e=,1,2.0,0,-777.0,,,1922,1938,41,16.02496971190374, Turkey,Anocracy,2209.0,17016.0
TUR-1938,823d15a2-1e42-11e4-b4cd-db5882bf8def,640,TUR,Inonu,1938-11-11,1938-11-11,1950-05-22,1950-05-22,Regular,Regular,Regular,0,OK,M,1884,1973,1884-09-25,1973-12-25,,0,1.0,0,0.0,Father of Erdal Inonu%823da825-1e42-11e4-b4cd-db5882bf8def,0.0,1938,1950,54,11.52658849942162, Turkey,Anocracy,2079.0,21121.639
TUR-1950,823d467c-1e42-11e4-b4cd-db5882bf8def,640,TUR,Menderes,1950-05-22,1950-05-22,1960-05-27,1960-05-27,Regular,Irregular,"Removed by Military, without Foreign Support",0,Death,M,1899,1961,,1961-09-17,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Adnan-5FMenderes&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=_1VIqWcV18gxE-pIvRrv5t6EzKitIU-YCqlTcDeu7mQ&e=,0,3.0,6,3.0,,,1950,1960,51,10.01526383156396, Turkey,Anocracy,3041.0,28217.122
TUR-1960,823d467d-1e42-11e4-b4cd-db5882bf8def,640,TUR,Gursel,1960-05-27,1960-05-27,1961-11-10,1961-11-10,Irregular,Regular,Regular,0,OK,M,1895,1966,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Cemal-5FG-25C3-25BCrsel&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=tG8B-0yGVtS0qM9YzEfSo3Lq2twLGbY_bQT24WIV9WA&e=,1,1.0,0,0.0,,,1960,1961,65,1.456566527717886, Turkey,Anocracy,3022.0,29029.976
TUR-1961,823d15a2-1e42-11e4-b4cd-db5882bf8def,640,TUR,Inonu,1961-11-10,1961-11-10,1965-02-13,1965-02-13,Regular,Regular,Regular,1,OK,M,1884,1973,1884-09-25,1973-12-25,,0,1.0,0,0.0,Father of Erdal Inonu%823da825-1e42-11e4-b4cd-db5882bf8def,0.0,1961,1965,77,3.260847245323312, Turkey,Anocracy,3481.0,31950.718
TUR-1971,823d4680-1e42-11e4-b4cd-db5882bf8def,640,TUR,Erim,1971-03-19,1971-03-19,1972-04-17,1972-04-17,Irregular,Regular,Regular,0,OK,M,1912,1980,,1980-07-19,,1,1.0,0,0.0,,,1971,1972,59,1.081473267760461, Turkey,Anocracy,4929.0,37492.953
TUR-1978,823d7751-1e42-11e4-b4cd-db5882bf8def,640,TUR,Ecevit,1978-01-01,1978-01-01,1979-11-12,1979-11-12,Regular,Regular,Regular,2,Imprisonment,M,1925,2006,1925-05-28,2006-11-05,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_B-25C3-25BClent-5FEcevit&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8y10JFn_u1fo_7gfZVhh-lgBmfk83I48wjlikMZJoqU&e=,0,1.0,0,2.0,,,1978,1979,53,1.861776764752185, Turkey,Anocracy,6204.0,44165.463
TUR-1983,823d7754-1e42-11e4-b4cd-db5882bf8def,640,TUR,Ozal,1983-12-13,1983-12-13,1989-11-09,1989-11-09,Regular,Regular,Regular,0,OK,M,1927,1993,1927-10-13,1993-04-17,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Turgut-5F-25C3-2596zal&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=g4ew8BdWNAUndIrJG-Ny0oFicACYim9Tcr9imEOxnjo&e=,0,1.0,0,0.0,,,1983,1989,56,5.9084033210812, Turkey,Anocracy,7992.0,55462.482
TUR-1997,823da824-1e42-11e4-b4cd-db5882bf8def,640,TUR,Yilmaz,1997-06-30,1997-06-30,1999-01-11,1999-01-11,Irregular,Regular,Regular,2,OK,M,1947,2011,1947-11-06,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mesut-5FY-25C4-25B1lmaz&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ZHzaxZ2wpkyUOeagXxhRsLjPXu4-eGTgC6kc60fEcHI&e=,1,1.0,0,0.0,,,1997,1999,50,1.533227923913564, Turkey,Anocracy,11151.6736,66877.51862
TUR-1999,823d7751-1e42-11e4-b4cd-db5882bf8def,640,TUR,Ecevit,1999-01-11,1999-01-11,2002-11-18,2002-11-18,Regular,Regular,Regular,3,Imprisonment,M,1925,2006,1925-05-28,2006-11-05,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_B-25C3-25BClent-5FEcevit&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8y10JFn_u1fo_7gfZVhh-lgBmfk83I48wjlikMZJoqU&e=,0,1.0,0,2.0,,,1999,2002,74,3.85223515883283, Turkey,Anocracy,11753.9536,69673.41832
IRQ-1939,823dd8fa-1e42-11e4-b4cd-db5882bf8def,645,IRQ,Abdul-Ilah,1939-04-04,1939-04-04,1953-05-02,1953-05-02,Regular,Regular,Regular,0,OK,M,1913,1958,1913-11-14,1958-07-14,,0,1.0,0,0.0,,,1939,1953,26,14.07831782993491, Iraq,Democracy,3394.0,5589.018
